https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1630728000000,2021-09-04 04:00:00,LTC/USD,213.49,225.07,209.0,213.34,59847.1703313,12767795.318479544
1630641600000,2021-09-03 04:00:00,LTC/USD,185.79,217.81,183.82,213.49,77106.3409531,16461432.73007732
1630555200000,2021-09-02 04:00:00,LTC/USD,182.35,187.93,180.0,185.79,32645.7094932,6065246.366741627
1630468800000,2021-09-01 04:00:00,LTC/USD,172.12,184.99,172.12,182.35,9595.7785867,1749790.225284745
1630382400000,2021-08-31 04:00:00,LTC/USD,169.14,175.34,167.66,172.12,24052.386514,4139896.7667896803
1630296000000,2021-08-30 04:00:00,LTC/USD,172.32,176.44,165.77,169.14,38554.5473105,6521116.132097969
1630209600000,2021-08-29 04:00:00,LTC/USD,176.56,179.83,171.71,172.32,17223.8734401,2968017.871198032
1630123200000,2021-08-28 04:00:00,LTC/USD,174.12,182.83,171.46,176.56,16333.8635404,2883906.946693024
1630036800000,2021-08-27 04:00:00,LTC/USD,167.61,177.1,165.2,174.12,12085.6733235,2104357.43908782
1629950400000,2021-08-26 04:00:00,LTC/USD,171.67,172.56,165.0,167.61,17288.2870938,2897689.7997918185
1629864000000,2021-08-25 04:00:00,LTC/USD,174.0,180.19,170.95,171.67,6933.898838,1190342.41351946
1629777600000,2021-08-24 04:00:00,LTC/USD,185.25,188.66,172.36,174.0,26186.081464,4556378.174736
1629691200000,2021-08-23 04:00:00,LTC/USD,188.83,191.78,182.66,185.25,17734.0608273,3285234.768257325
1629604800000,2021-08-22 04:00:00,LTC/USD,182.63,190.78,178.77,188.83,27394.4011503,5172884.76921115
1629518400000,2021-08-21 04:00:00,LTC/USD,182.41,184.59,176.74,182.63,26994.7754124,4930055.833566612
1629432000000,2021-08-20 04:00:00,LTC/USD,175.85,184.16,174.25,182.41,38833.1024575,7083546.219272574
1629345600000,2021-08-19 04:00:00,LTC/USD,165.31,178.05,162.75,175.85,31683.7005421,5571578.740328285
1629259200000,2021-08-18 04:00:00,LTC/USD,168.85,174.49,164.55,165.31,12994.4035628,2148104.852966468
1629172800000,2021-08-17 04:00:00,LTC/USD,181.6,184.38,162.93,168.85,26419.2972593,4460898.342232805
1629086400000,2021-08-16 04:00:00,LTC/USD,183.8,189.08,173.17,181.6,42888.483309,7788548.5689144
1629000000000,2021-08-15 04:00:00,LTC/USD,182.91,187.73,175.41,183.8,21115.7117262,3881067.81527556
1628913600000,2021-08-14 04:00:00,LTC/USD,179.25,186.65,174.92,182.91,32932.9063431,6023757.899216422
1628827200000,2021-08-13 04:00:00,LTC/USD,168.41,185.1,167.56,179.25,46815.3119938,8391644.67488865
1628740800000,2021-08-12 04:00:00,LTC/USD,175.12,176.31,160.89,168.41,28319.6817258,4769317.599441978
1628654400000,2021-08-11 04:00:00,LTC/USD,165.8,179.69,165.8,175.12,16424.306571,2876224.5667135203
1628568000000,2021-08-10 04:00:00,LTC/USD,162.86,168.33,158.91,165.8,33325.4025939,5525351.75006862
1628481600000,2021-08-09 04:00:00,LTC/USD,147.41,170.81,146.64,162.86,40771.0471983,6639972.746715139
1628395200000,2021-08-08 04:00:00,LTC/USD,154.29,157.41,145.26,147.41,24510.3942412,3613077.215095292
1628308800000,2021-08-07 04:00:00,LTC/USD,153.5,157.69,149.15,154.29,28937.9198132,4464831.647978627
1628222400000,2021-08-06 04:00:00,LTC/USD,146.12,153.94,143.45,153.5,16720.35631,2566574.693585
1628136000000,2021-08-05 04:00:00,LTC/USD,140.79,147.44,136.2,146.12,18978.6797151,2773164.679970412
1628049600000,2021-08-04 04:00:00,LTC/USD,137.26,144.44,137.26,140.79,3033.7427249,427120.638238671
1627963200000,2021-08-03 04:00:00,LTC/USD,138.99,140.45,135.72,137.26,22354.7031509,3068406.5544925337
1627876800000,2021-08-02 04:00:00,LTC/USD,141.44,145.85,138.38,138.99,20281.751096,2818960.5848330404
1627790400000,2021-08-01 04:00:00,LTC/USD,149.68,149.7,137.96,141.44,16723.4021327,2365357.997649088
1627704000000,2021-07-31 04:00:00,LTC/USD,144.82,149.68,142.0,149.68,13407.9484261,2006901.720418648
1627617600000,2021-07-30 04:00:00,LTC/USD,142.84,146.62,136.01,144.82,16213.3580742,2348018.5163056436
1627531200000,2021-07-29 04:00:00,LTC/USD,138.78,143.83,137.2,142.84,28383.9335213,4054361.0641824924
1627444800000,2021-07-28 04:00:00,LTC/USD,135.51,142.05,135.51,138.78,15603.9872444,2165521.3497778317
1627358400000,2021-07-27 04:00:00,LTC/USD,128.93,137.14,128.21,135.51,31943.0009426,4328596.057731725
1627272000000,2021-07-26 04:00:00,LTC/USD,137.17,140.43,127.48,128.93,47740.2732899,6155153.435266807
1627185600000,2021-07-25 04:00:00,LTC/USD,124.95,138.76,123.86,137.17,17875.3394684,2451960.314880428
1627099200000,2021-07-24 04:00:00,LTC/USD,126.35,127.76,123.33,124.95,14109.9714256,1763040.92962872
1627012800000,2021-07-23 04:00:00,LTC/USD,120.61,126.47,117.05,126.35,17230.5706084,2177082.59637134
